,,"This survey is conducted as part of [Organization]’s impact research initiatives and [[Author]] doctoral dissertation at the University of Fukui. Your participation is entirely voluntary and all responses will remain fully anonymous with no identifying information collected. Your anonymous survey responses may be analyzed, aggregated, and included in academic publications. By selecting “I agree and wish to participate” below, I affirm that I am providing my informed consent for my anonymous data to be used for these research and reporting purposes.",2. Which of the following best describes your career stage when you volunteered with [Organization]? (Select all that apply),4.  What were your countries of residence while volunteering at [Organization]? (Select all that apply),4. What best describes your role at [Organization]? (Select all that apply),5. How long have you volunteered/did you volunteer for [Organization]?,"1. Volunteering at [Organization] improved my technical skills (e.g., programming, data analysis, specific software).","2. Volunteering at [Organization] improved my communication skills (e.g., writing, presentation, proposals, verbal).","3. Volunteering at [Organization] helped me cultivate stronger leadership skills (e.g., guiding a team, decision-making).","4.  Volunteering at [Organization] improved my time management and organizational skills (e.g., meeting deadlines, prioritizing tasks, project planning).",5. My involvement with [Organization] led me to establish a larger number of professional connections.,"6. My involvement with [Organization] provided me with new professional insights, advice, or learning opportunities.",7. My involvement with [Organization] gave me access to valuable professional circles or communities.,8. My [Organization] experience positively impacted my overall career and academic development.,9.  My [Organization] experience made my resume/CV and LinkedIn profile more competitive for job or academic applications.,"10. My [Organization] experience provided skills that helped me secure a new job, promotion, or academic placement.",11.  My [Organization] experience helped me advance to roles with greater responsibility or leadership.,"12. Compared to before you joined [Organization], to what extent do you feel your professional skills and network have grown?"
,,I agree and wish to participate,Professional (7-10 years experience),,Grants Writing/Research,2-3 years,5,5,5,5,4,5,5,5,5,5,5,5
,,I agree and wish to participate,Master's student,,Data Scientist,3-6 months,4,4,5,4,4,4,4,4,4,4,4,4
,,I agree and wish to participate,Undergraduate student,,"Grants Writing/Research, HR, Executive Assitant",6-12 months,5,5,5,5,5,5,5,5,5,4,4,5
,,I agree and wish to participate,Undergraduate student,,"App Developer, Web Developer",6-12 months,5,4,4,5,4,5,4,5,5,4,4,5
,,I agree and wish to participate,High school student,,Marketing,1-2 years,2,4,4,4,4,4,3,5,5,4,3,4
,,I agree and wish to participate,"Master's student, Professional (7-10 years experience)",,HR,4-5 years,5,5,5,5,5,5,5,5,5,5,5,5
,,I agree and wish to participate,Undergraduate student,,Grant Writing / Research,Less than 3 months,5,3,2,4,2,3,2,2,1,1,3,4
,,I agree and wish to participate,Professional (11-20 years experience),,"App Development, Cloud Engineering / IT, Web Development, Grant Writing / Research, Technical Writer",2-3 years,4,4,3,4,3,4,4,4,4,3,4,4
,,I agree and wish to participate,Professional (11-20 years experience),,Grant Writing / Research,3-6 months,3,2,2,3,2,4,3,2,2,2,2,2
,,I agree and wish to participate,Undergraduate student,,ML Engineering,3-6 months,5,5,4,5,4,5,5,5,5,4,4,4
,,I agree and wish to participate,"Master's student, Professional (0-3 years experience)",,Machine Learning Engineer,6-12 months,5,5,5,5,5,5,5,5,5,5,5,5
,,I agree and wish to participate,Professional (0-3 years experience),,"Web Development, Grant Writing / Research, UX/UI Design",3-6 months,4,4,5,4,5,5,5,5,4,4,5,4
,,I agree and wish to participate,Professional (0-3 years experience),,Web Development,6-12 months,5,5,5,5,5,5,5,5,5,5,5,5
,,I agree and wish to participate,Professional (21-30 years experience),,Pharmacist ,Less than 3 months,3,3,3,3,3,3,3,3,3,3,3,3
,,I agree and wish to participate,Undergraduate student,,Cloud Engineering / IT,Less than 3 months,3,4,4,4,4,2,5,5,4,3,4,5
,,I agree and wish to participate,"Master's student, Professional (4-6 years experience)",,Legal,3-6 months,4,3,4,4,3,4,3,4,5,5,4,4
,,I agree and wish to participate,Professional (4-6 years experience),,Web Development,Less than 3 months,4,5,4,4,3,4,3,3,3,3,4,3
,,I agree and wish to participate,Master's student,,"Web Development, Business Development, HR, Marketing",6-12 months,4,5,5,5,5,5,5,4,4,4,4,5
