"variable","n","mean","sd","median","min","max"
"q1",78,3.84615384615385,1.02027400288307,4,1,5
"q2",78,3.98717948717949,1.06287517127066,4,1,5
"q3",78,3.88461538461538,1.12793074797515,4,1,5
"q4",78,3.96153846153846,1.03750835005005,4,1,5
"q5",78,3.70512820512821,1.17450154510493,4,1,5
"q6",78,4.11538461538461,1.05659056231996,4,1,5
"q7",78,3.85897435897436,1.15909009291333,4,1,5
"q8",78,3.87179487179487,1.1436893406976,4,1,5
"q9",78,3.94871794871795,1.17216013153467,4,1,5
"q10",78,3.56410256410256,1.22304435562963,4,1,5
"q11",78,3.70512820512821,1.17450154510493,4,1,5
