"claim","paper_value","code_value","tolerance","status"
"SEM_CFI",0.976,0.996,0.005,"MISMATCH"
"SEM_RMSEA",0.038,0.083,0.005,"MISMATCH"
"HC_SC_COMPOSITE_R",0.94,0.865,0.02,"MISMATCH"
"FULL_SAMPLE_R2",0.575,0.575,0.001,"MATCH"
"TABLE2_q1",14.4,14.388,0.2,"MATCH"
"TABLE2_q2",16.1,16.068,0.2,"MATCH"
"TABLE2_q3",17.2,17.167,0.2,"MATCH"
"TABLE2_q4",13.4,13.394,0.2,"MATCH"
"TABLE2_q5",11,10.583,0.2,"MISMATCH"
"TABLE2_q6",15.7,15.729,0.2,"MATCH"
"TABLE2_q7",12.2,12.672,0.2,"MISMATCH"
"TECH_Q3",18.4,18.359,0.2,"MATCH"
"TECH_Q6",16.9,16.381,0.2,"MISMATCH"
"NONTECH_Q1",25.2,21.697,0.2,"MISMATCH"
"STUDENT_Q3",23.3,23.327,0.2,"MATCH"
"PROF_Q6",21.5,21.535,0.5,"MATCH"
